فارسی,بلوچی
متاهلی یا مجرد,تو سور کرتگ یا نان
هنوز آنجا هستی؟,شما انگت همودا ئی؟
آیا شما آنجا هستید,ایا شما ساڑی یی
منطقه,تان
بحث,تران
بحث و جدل,دلیل
بوجود امدن,پاد ایگ
بازو,دست
ارتش,لشکر
در اطراف,کروکشان
ترتیب,بکس و بند
ورود,سربوگ
رسیدن,سر بوگ
رسید,سر بوتان
متکبر,گروناک
فلش,تیر
هنر,هنر
مقاله,نبشتانک
ساختگی,وت ساچین
هنرمند,ازمکار
مانند,انچو
تا زمانیکه,تان وهدیکه
همچنین,ایشی
خاکستر,پر
شرمنده,پشل
پرسیدن,جست کنگ
پرسید,جست کرت
خواب,واب انت
جنبه,پهنات
آسامی,اسامیسی
حمله,ارش
مونتاژ,جرگه
اظهار کننده,زوراک
ارزیابی کنید,کساس جنگ
ارزیابی,تپاس ء
دارایی,مڈی
دارایی های,مڈیان
اختصاص دهد,دیگ
وظیفه,داتگین کار
کمک کند,کمک
دستیار,کمک‌کار
وابسته,نامینگ
مرتبط است,همگرنچ
اتحادیه,سیادی
قرار گرفتن,فرض کن
فرض,هیال
در,ء
حداقل,گڈی
خورد,وارتگ
ورزشکار,لیبی
ضمیمه کردن,همگرنچ
پیوست شده است,همگرنچ
پیوست,هوار
حمله کنند,ارش
تلاش,جهد
شمولیت,بهرزورگ
حضور,حاضری
توجه,دلگوش
ذهنیت,تب
جذب کنند,وتی نیمگ دلگوش
جاذبه,رز
جذاب,دلکش
حضار,گوشداروک
اوت,اگست
خاله,ترو
عمه,تری
معتبر,پکا
نویسنده,نبیسۆک
قدرت,واک
فصل خزان,تاکچنڈ
قابل دسترس,هستین
اوسط,کساس
اجتناب کردن,رکهگ
بیدار,آگاه
جایزه,داد
آگاه,سرپد
آگاهی,سرپدی
دور,دور
عالی,ترسناک
بد,ترسناک
خام,بی وڈین
آیمارا,ایمارا
طفل,چک
عزب,لنڈ
پشت,پشت
زمینه,پژدر
بیک,ارجین
طعمه,کاه
پختن,گرادگ
نانوایی,بیکری
جوش شیرین,بیکنگ سوڈا
ترازو,پشت کپتگین
توپ,بول
بامبارا,بمبارا
موز,موز
باند,چوٹ
انفجار,تراک
بانک,بینک
بار,شرابجاه
به مشکل,کچ رزوائی
معامله,سودا
پارس سگ,چانگگ
جو,همی
مانع,اوشت
پایه,بنیاد
مستقر,ء بنیات ء
زیر زمین,جهل جاه
پایه ای,بنکی
اساسا,چونا هیگا
ریحان,تلسی
حرامزاده,کوٹک
دسته ای,بیچ
حمام,جانشودگ
باتری,باتری
نبرد,پئیکار
خلیج,هور
بودن,بوگ
مراقب باش,پهریز کن
ساحل بحر,تیاب
پرتو,بیم
لوبیا,لوبیا
تحمل,مم
نان,ریش
یاتاقان,سان
جانور,دلوت
ضرب,بجن
زیبا,براهدار
زیبایی,زیبدار
تبدیل شد,بوت
بدلیل اینکه,چیا که
شدن,جوڑ
تختخواب,نپاد
اتاق خواب,وابجاه
زنبور عسل,بینگ مگسک
جنگ,گوک
بوده است,ء
آبجو,بیئر
قبل از,پیسرا
آغاز شد,بندات بوت
آغاز,بندات
شروع,بندات
از طرف,نیماگا
رفتار کردن,تب
رفتار,تب
اخلاق,تب
باور,باور
باور داشتن,باور‌ کنگ
شکم,پشت
ربط,چه
محبوب,دوستگین
پائین,جهل ء
کمربند,لانکبند
نیمکت,بنچ
خم شدن,چوٹ کنگ
در زیر,جهل ء
فواید,پائدگان
در کنار,گورا
در کناری,ایشی
بهترین,گهترین
بهترین شانس,سلامت بات ئی
با احترام,نیکین واهشت
بهتر,گهتر
در بین,میان
نوشیدنی,شربت
فراتر,دزرس
بوجپوری,بوجپوری
تعصب,کینگ
جانبدارانه,زهرامد
دوچرخه,ٹالکی سائیکل
پیشنهاد,پربها
بزرگ,مزنین
صورت حساب,زرلۆٹ
بستن,بندگ
پرنده,مرگ
روز تولد,سالروچ
ضربه,کمی
دندان گرفتن,گٹ
تلخ,تهلین
سیاه,سیاه
تیغه,ارن
اتهام,بهتام
جای خالی,هورک
کمپل,کمبل
سفید کننده,بیلیچ
مخلوط کردن,هورتوری
برکت دادن,برکت
مبارک,مراد بات
کور,کور
سعادت,وشی
مسدود کردن,بند
خون,هون
شکوفه,پچ بوگ
ضربت,زور
آبی,سبز
صریح,تچک گش
تخته,بورڈ
قایق,لانچ
جسم,جون
جوشیدن,لهڑ
با جرات,بیباک
رابطه,کولبند
استخوان,هڈ
کتاب,کتاب
تقویه,دیمروی
تقویت کننده,دیما بروک
چکمه,بوٹ
مرز,سیمسر
منفذ,بور
خسته,بور
خسته کن,بورنگ
بدنیا آمدن,پیدا بوگ
قرض گرفتن,وام زورگ
رئیس,ارباب
هردو,دوئین
مزاحمت,کیامتی
بطری,بوتل
زیر,چیر ء
خرید,زرتگ
جهش,مان برگ
مقید شده است,پابند
مرزها,سیمسر
سرخم کردن,سرجهل کنگ
کاسه,تاس
جعبه,ڈبی
پسر,بچک
دوست پسر,بچکین سنگت
دستبند,کڑولیگ
مغز,مجگ
شاخه,شاه
نام تجاری,برانڈ
جراتمند,دلیر
رخنه,هلاپ کنگ
وقفه,پروشگ
ناشتا,ارزبند
پستان,سینگ
نفس,ساه
نفس کشیدن,ساه زورگ
نژاد,پدریچ
آجر,هشت
عروس,بانور
پل,پل
مختصر,گونڈ
روشن,روژنا
درخشان,جوان
آوردن,بیار
برادر,برات
گسترده,شاهیگان
پخش,شنگ
شکست,پرشت
شکسته,پرشتگین
جارو,روپگ
برادر شوهر,زامات
آورده شد,اؤرت
خاکستری,ناسی
قلم مو,برش
سطل,زیله
رفیق,سنگت
بودیجه,زرام
حشره,لولک
تعمیر,جوڑ کنگ
ساخته شده,بندگ
فله,باز
گاو نر,گوک
گردن کلفت,بیش کار
دست انداز,نه زورگ
دسته,بگچه
بار دوش,بار
دفن شد,کل
سوختن,سچگ
ترکیدن,ترکگ
دفن کردن,کل
اتوبوس,بس
بوته,درچکان
تجارت,باپار
شکستن,پروشگ
مصروف,دزگٹ
اما,بلی
مسکه,نیمگ
پروانه,بالو
دکمه,تمک
خریدن,بها زورگ ء
از,چه
خدا حافظ,وشین
کلم,گوبهی
کابینه,کابینه
قفس,کبس
کیک,کیک
گوساله,گوسک
زنگ,زنگ جت
به من زنگ بزن,منا فون کن
زنگ زد,لوٹائینتگ
آرام,تاهیر
آمد,اتک
پویش,تکشام
قطی,کرت کن ئی
نمی تواند,بوت نه کنت
حذف,کوتاه کنگ
سرطان,شومک
توانمند,لائک
ظرفیت,جوازت
سرمایه,بنمال
عنوان,سرنام
گرفتن,گرگ
موتر,موٹل
کارنامه,کارزند
مراقب باشید,پهریز
با دقت,پهریز
بی توجه,بیپگر
مراقبت,هیال داروکین
نجار,واڈه
فرش,جل
هویج,گزرک
برداشتن,برگ
ادامه دادن,برجاه ئی بدار
انجام دادن,زور بر
قضیه,سوب
پول نقد,نگد
بازیگران,زات
قلعه,ماڑی
غیر رسمی,ارامین
پشک,پیشی
دسته بندی,دروشم
گاو,گورم
بدست آورد,گیر
سبب,سوب
احتیاط,پهریز
محتاط,پرهیز
غار,هونڈ
دست کشیدن,جام
سقف,لوگ
جشن گرفتن,دارگ
سلول,سل
مرکز,میان
قرن,کرن
غلات,گله
مراسم,مراگش
مطمئن,راستی ء
حتما,راستین وڑی ء
گواهی,سرٹیفکیٹ
زنجیر,زنجیر
چوکی,کرشی
چالش,ٹاه دیگ
چانس,موه
تغییر,مٹ
بی نظمی,درگون درگان
شخصیت,کارست
مشخصات,هاسیت
مصرف,چارج
خیریه,هیرات
چارت سازمانی,چارٹ
تعقیب کردن,پشت ء
چت کردن,هبر
ارزان,ارزان
تقلب,ریپینگ
تقلب کردن,ریپینگ
چک,چارگ
گونه,انارک
تشویق کردن,وشی
خرسند,وش بهت
تشکر,وشاتکی
پنیر,پنیر
علم شیمی,کمسٹری
گرامی داشتن,رودینگ ء
شطرنج,شترنج
سینه,دلبند
جویدن,جاهگ
مرغ,ککڑ
دوران کودکی,کسانی
اطفال,چک
سرد,سارتین
دودکش ها,دوت کشان
چانه,زنوک
شکلات,چاکلیٹ
انتخاب,گچین
تکه کردن,برگ
کارها,کار دهندا
چاق و چله,زنڈ
کلیسا,چرچ
دارچین,دارچینی
دایره,گولائی
اوضاع,جاورهال
شهروند,جهمنند
شهر,شهر
ادعا,داوا
روشن کردن,دلجمی
کلاس,تبک
خاک رس,حاک
پاک,پلگار
شفاف,ساپ
منشی,منشی
چالاک,هژار
مشتری,زروک
صخره,جمپ
اقلیم,اپ و گوات
بالا رفتن,سرکپگ
چسبیده,لپچناک
ساعت,ساهت
نزدیک,بند
کمد لباس,الماری
پارچه,گد
لباس ها,گدان
ابر,جمبر
ابری,جمبری
دلقک,توازه کنوک
سرنخ,دوستگین
دست و پا چلفتی,اناڑی
خوشه,هولمب
مربی,کۆچ
زغال سنگ,اشکر
ساحل,تیاب
کرتی,کوٹ
قهوه,کهوه
شناختی,زانشی
اتفاقی,تپاک
سقوط,کپگ
یقه,کالر
همکار,همراه
همکاران,همراهان
جمع آوری کنید,جم
مجموعه,مچی
دانشکده,شهدربرجاه
رنگ,لون
ایده های سبز بی رنگ با عصبانیت خوابیدند,بی رنگین سبزین هیال زهرگرگ ء چه واب کپتان
ستون,کالم
شانه کردن,سررند
ترکیبی,هواری
ترکیب کردن,هواری
بیا,بیا
بیا اینجا,ادا بیا
بیا دیگه,بیا بارین
راحتی,آسراتی
آینده,پیداک انت
به زودی,زوت پیداکین
فرمان,کمان
اظهار نظر,لیکه
تجاری,باپاری
کمیسیون,کمیشن
مرتکب شدن,جز
تعهد,جزم
متعهد شد,پرجزم
کالا,تومانی دروشم
مشترک,لس
برقراری ارتباط,گپ و رپ
ارتباطات,رسانک
جماعت,براهندگی
رفت و آمد,سپر
همراه و همدم,همنوا
شرکت,کمپنی
مقایسه کنید,دیم په دیم
مقایسه,دیم په دیمی
دلسوزی,همدردی
دلسوز,دردمند
سازگار,جوان
رقابت کنند,جپت دیگ
صالح,لائک
مسابقه,مقابله
رقابتی,چکاسی
اعتراض,گلگ
شکایت,گلگ
متمم,سرجمی
تکمیل,سرجم
به صورت کامل,سرجمی ء
مجتمع,کنجل
اجابت,سرجمی
پیچیده,پیچ
تعریف و تمجید,گلگ
رعایت کنند,سرجمی
ترکیب بندی,هورتور
ترکیب,هوارین
درک مطلب,پهم
قابل فهم,پراه
سازش,من
لازمی,الم
کامپیوتر,کمپیوٹر
تمرکز,دلگوش گور کنگ
مفهوم,هیال
تشویش,تکانسر
تشویشی,فکر مند
کنسرت,زیملی دیوان
نتیجه گیری,اسر
کانکریت,بجری
حالت,جاور
شرایط,جاوران
کنفرانس,مراگش
اعتراف کردن,منگ
اعتماد,بهیسه
بااعتماد,پر بهیسه
جنجال,اڑاند
گیچ,سربتگ
گیجی,گڑ و منجی
تبریک,مراد بات
پیوستگی,گرنچ گال
اتصال,هوار
تسخیر,باج برگ
باهوش,هوش
اجازه,راضی بوگ
عواقب,اسر
حفاظت,دیمپانی
محافظه کار,سکین
در نظر گرفتن,تپاس به کن
در نظر گرفته شده,زانگ بیت
تشکیل شده است از,هوار
ثبات,دائمی
متداول,یکوئی
متداوم,یکوئی
دائما,یکوئی
یبوست,قبض
ساختمان,جوڑ کنگی
مصرف کردن,کارمرز
مصروفیت,ورگ
تماس,نزیکی
مسری,هوپ
حاوی,هوار
شامل,هوار
امروزی,هم وهد
تحقیر,کنت
مواد,نکان
متن نوشته,پژدر
قاره,هشکی
ادامه,برجاه بیت
قرارداد,منگ نامه
تضاد,تپاوت
نقش داشتن,بهر مان کنگ
مشارکت,بهرشت
کنترل,واک
بحث برانگیز,اڑوکی
راحت,‏آسیدگ
گفتگو,گپ رپ
تبدیل,بدل
ارجاع,سرکنگ
قانع ساختن,منارینت
متقاعد,منارینگ
آشپز,گرادگ
پخت و پز,گرادگ
نسبتا سرد,سارت
کنار آمدن,رکهگ
فلز مس,پوپل
هسته,المی
ذرت,مکئی
گوشه,کنڈ
لباس,گد
کلبه,کل
پنبه,کرپاس
سرفه,کلگ
توانستن (در گذشته),کرت کن ئی
شورا,کونسل
شمار,هساب
پیشخوان,کاؤنٹر
کشور,ملک
حومه شهر,کوچگی هندان
جفت,جوڑی
جرات,همت
مسیر,کورس
محکمه,امیدگس
حسن نیت,منت واری
پسر کاکا,ناکو زتک
پوش,پوش
ترسو,لگور
دنج,دل ارامین
خرچنگ,تگس
درز,شانک
مهارت,ازم
چرندیات,هربین
تصادف در,اماچ
میل شدید به,دلمانگ
خزیدن,لاپ کش
دیوانه,ابدال
ایجاد,ساچ
خلاق,ساچشتی
اعتبار,کریڈٹ
عجیب و غریب,ترسناک
کارمندان,کارنده
جرم,ڈوه
خیله,دلگوش
بحران,گپچل
شاخص,راهبند
حیاتی,ایرادی
انتقاد,شرگداری
محصول,کشار
محصولات زراعی,کشاران
صلیب,گوز راه
کلاغ,گراگ
جمعیت,مچی
شلوغ,مچی
تاج پادشاهی,تاج
مهم,هاسین
ظالم,زوراکین
کشتی تفریحی,کروز
معشوق,لپاشگ
گریه کردن,گریوگ
خیار,بادرنگ
در اغوش گرفتن,گلائیش
فرهنگ,دود ربیدگ
حیله گری,ٹگی
فنجان,کوپ
کابینت,الماری
محدود کردن,دارگ
علاج,الاج
مقررات حکومت نظامی وخاموشی در ساعت معین شب,کرفیو
کنجکاوی,هدوناکی
علاقه مند,هدوناک
فرفری,ڈکمی
واحد پول,زر
فعلی,هستین
فعلا,ای وهدان
لعنت,نالت
پرده,پردگ
کوسن,کوسن
رواج,وتی مرضی ء
گمرک,گراک
قطع,برگ
قندولک,مهروان
چرخه,سائیکل
دوچرخه سواری,سائیکل تاچگ
پدر,پت
بابا,پت
روزانه,هر روچ
لبنیات,گوک
سد,ڈیم
ضرر,تاوان
عذاب,لعنت
مرطوب,نمب
رقصیدن,سهبت
خطر,ترسناک
خطرناک,ترسناک
تاریک,تهاری
عزیز,مهروان
خط تیره,ورگ
تاریخ,تاریخ
دختر,جنکین چک
روز,روچ
مرده,مرتگین
ضرب الاجل,گڈی سیمسر
کر,کر
محترم,مهروانین
عزیزان,شما دراه
مشتری محترم,شرپمندین کارمرزوک
والدین عزیز,مهروانین مات پتان
آقای محترم,مهروانین واجه
دانش آموزان عزیز,مهروانین نودربران
تیم عزیز,مهروانین ٹولی
مرگ,بیرانی
مناظره,تران
بدهی,وام
زباله,بانڈم
دهه,دهک
پوسیدگی,گهگ
فوت شده,مرتگین
فریب دادن,ریپینگ
دسامبر,دسمبر
تصمیم گرفتن,پیسله کنگ
تصمیم گرفت,پیسله کرت
تصمیم,پئیسله
عرشه,ڈک
نزول کردن,کمی
فداکاری,ندر
سند,کار
عمیق,جهلین
آهو,اسک
برگشت,پیسرا چه گیشینتگین
دفاع,دیمپانی
تعریف کردن,تچک بکن
تعریف,ستا
درجه,مدراک
تعویق,دیر
با تاخیر,دیر
حساب شده,په زور
ظریف,نازرک
لذیذ,تامدار
لذت بسیار,وشی
خوشحال,وش
ارائه,سر کنگ
تحویل داده شده,سرکرت
تقاضا,لوٹ
مطالبه گر,لوٹ کنگ
دموکراسی,جمهوریت
دیو,شیتان
نشان دادن,پدراهی کنگ
تکذیب کرد,انکار کرت
تراکم,بزی
دندانپزشک,دنتان ساچ
رد کردن,نه منگ
بخش,بهرگ
رفت,رپتن
بستگی دارد,همگرنچ
استقرار,ایر کنگ
ذخیره,بئیانه
افسرده,ایرمانگ
افسردگی,ملور
عمق,جهلانکی
توضیح دادن,بیان کنگ
توضیح,سرجمین
صحرا,ریگستان
لایق بودن,کرزگ
طرح,دروشم
تعیین,اگده
غریزه,واهگ
میز,ڈیسک
ناامیدی,دلپروش
بیچاره,گٹ
با وصف,ایشی
شیرینی,ریگستان
مقصد,منزل
سرنوشت,بهت
از بین رفتن,ڈلینگ
تخریب,بربادی
جزئیات,سرجمی
تشخیص,گرگ
عزم,گچین
متعهد,ای گیشینگ
ویران,تباه
انکشاف,دیمروی
توسعه یافته,دیمروی
وسیله,ازباب
شیطان,شیتان
اختصاص داده شده است,ندر
دیوهی,دیوهی
دیابت,شکر
اسهال,دل
دفتر خاطرات,رودپتر
فرهنگ لغت,لبزبلد
کرد,کرت
بمیر,مرگ
فوت کرد,مرتگ
رژیم غذایی,وراک
تفاوت,دگری
مختلف,جتا
سخت,مشکل
حفر کردن,پٹگ
کرامت,بستار
کوشا,محنتی
غذای شب,شپ شام
شیب,ڈپ
مستقیم,تچک
جهت,نیمگ
کارگردان,سوجکار
خاک,پلشت
کثیف,چل
غیر فعال کردن,بی کارین
معلول,لنگ
ناپدید می شوند,بیگواه
ناامید,دلپروش
فاجعه,آپت
دور انداختن,زیان
تخلیه,درکنگ
نظم,شائستگی
تخفیف,کمی
کشف کردن,درگیجگ
تبعیض,ڈلگچاری
مرض,الت
بیماری ها,نادراهیان
مبدل کردن,دروشم
چندش آور,بژناک
ظرف,وراک
ظرف ها,رزان
رد,درکنگ
ارسال,دیم دیگ
نمایش گذاشتن,پیشدار
دسترس,زاوال کنگ
منازعه,اڑاند
فاصله,دوری
متفاوت,جتا
تفکیک,یکتا
پریشانی,تکلیپ
توزیع,بهربانگ
ناحیه,ضلع
گودال,کنڈ
شیرجه رفتن,بک ورگ
گوناگون,باز دروشم
تنوع,مٹء بدلی
تقسیم کنید,بهر
الهی,گیبی
طلاق,سئون
سرگیجه,سر ترگ
آیا تو,ایا تو
دوستم داری,تو گون من مهر کن ئی
دکتر,دکتر
میکند,کنت این
نمی کند,نه کنگ
سگ,کچک
دوگری,دوگری
در حال انجام,کنگ ء
عروسک,دتوک
دامنه,بنجاه
داخلی,هندی
غالب,سرا مشگ
نکن,مکن
نگران نباشید,چرت مجن
اهدا کنند,دیگ
انجام شده,بوت
الاغ,هر
پیش بینی کردن,نشه کنگ
دو برابر,دوسری
شک,شک
خمیر,ارت
پایین,جهل ء
دانلود,ایرگیج
متن,سیاهگ
بکشید,کشان کنگ
زه کشی,کنڈ
نمایش,کسمانک
رسامی,کشگ
کشو,دراز
طراحی,عکس کشی
وحشت,ترس
مته,ڈرل
رانندگی,هلائین
قطره,ترمپ
کاهش یافته است,دور دات
خشکسالی,ڈکال
مست,نشه ء
خشک,هشک
اردک,بٹ
بچه,یار
ناشی از,پشت کپتگین
به واسطه,سوب
بی خاصیت,نزور
گنگس,لل
انداختن,امبار
مدت زمان,مدت
در جریان,میان
گرد و خاک,دنز
ساکن,نندگ
در حال مرگ,مرگ
هر یک,هریکی
یکدیگر,هریکی
عقاب,شاهین
گوش,گوش
زودتر,پیسرا
زود,مهله
گوش ها,گوشان
زمین,زمین
زمین لرزه,زمین چنڈ
سهولت,ارزانی
به آسانی,ارزانی
شرق,رودراتک
آسان,ارزان
خوردن,ورگ
غذا خوردن,نگن ورگ
اقتصادی,معاشی
اقتصاد,معاش
لبه,کلانٹک
ویرایش کنید,دوارچاری
سواد,وانگ
تاثیر,اسر
تاثیر گذار,کارگشاد
بهره وری,کارگشادی
موثر,جوان
کوشش,جهد
تخم مرغ,هیک
بادمجان,بٹاگ
هشت,هشت
هجده,هژده
هشتاد,هشتاد
یا,یا وا
آرنج,مک
بزرگتر,مسترین
مسن,بزرگ
عنصر,بنبهر
فیل,پیل
یازده,یازده
واجد شرایط,لائک
از بین بردن,هلاس
برعلاوه,دگه
شرم آور,پشلی
در آغوش گرفتن,گلائیش کنگ
ظهور,هوار
اضطراری,اناگتی
عاطفی,جزباتی
یکدلی,هورک
تاکید,زور
اهمیت دادن,زور دیگ
کارمند,کاردار
کارفرما,مزور
استخدام,روزگار
خالی,هورک
آماده سازی,کاریگ
مواجهه,دیمپانی
پایان,هلاس
در معرض خطر,ترس
تحمل کن,سگ
دشمن,دژمن
انرژی,رمان
دخیل سازی,دزگٹ
مشغول,دزگٹ
موتور,انجن
انجینیر,انجینیئر
انگلیسی,انگریزی
تفریح,دل
مطمئن ساختن,سدکی جوڑ کن
وارد,پترگ
اشتیاق,هب
کامل,سرجمین
تحت عنوان,حگدار
وجود,هستی
تجارت پیشه,باپاری
پاکت نامه,نمدی
محیط,چپ
حسادت,هسد
حماسه,جنگی
اپیدمی,هوپ
برابر,بروبر
لوازم,ائوزار
انصاف,بروبری
معادل,بروبری
پاک کن,ساپ کنوک
خطا,ردی
فرار,جیئگ
بالاخص,هاسین
ذات,جوهر
تعیین کردن,جوڑ کنگ
ایجاد گردیده,جوڑ
املاک,اسٹیٹ
تخمین,کساس
تخمین زده,کساس جتگین
و غیره,ایندگه
ابدی,ابدمان
حتی,تان ادا
شام,بیگاه
محفل,مراگاه
بالاخره,گڈی ء
همیش,کدی
همه کس,هریکی
همه چیز,هرچی
شیطانی,هرابی
سیر تکاملی,بنداتی زمانگ
تکامل یابد,تیار
میش,ایو
سابق,گوستگین
دقیق,همی
امتحان,چکاس
معاینه کردن,تپاسگ
مثال,درور
تجاوز,هد
بسیار عالی,گهترین
توقع داشتن,گمان
استثنا,ابید
بیش از اندازه,بی کساس
تبادله,بدل
هیجانی,تمرد
هیجان,جوش
هیجان انگیز,هدوهناک
انحصاری,هاسین
بهانه,ازر
مرا ببخشید,پهل کن
اجرا کردن,پاهو
اجرا,پاهۆ /ایدام
اجرایی,کار مستر
تمرین,ورزش
اگزوز,درایگ
نمایشگاه,نمائش
وجود داشتن,هست
موجود,هستین
خروج,ڈن
بسط دادن,تالان کن
توقع,گمان
متوقع,گمانی این
هزینه ها,هرچان
قیمت,گرانین
تجربه,کته کاری
آزمایش,آزمشت
کارشناس,زانتکار
منقضی شده,هلاس
بهره برداری,تاوان
کشفیات,درگیج
صادرات,در
در معرض گذاشتن,پاشک
در معرض قرار گرفت,بیستر
برملا شدن,پدرائی
اظهار,درشان
توسیع,مزن کنگ
تمدید شده,گیشی
افزونه,دیما برگ
وسعت,هد
خارجی,دری
منقرض شده,هلاسی
استخراج کردن,درکنگ
خارق العاده,سکین لائکین
مفرط,جذبات
بی نهایت,سکین
چشم,چم
چشم ها,چمان
شگفت آور,جوان
چهره,دیم
تسهیل کردن,اسراتی پجارینگ
تجهیزات,اسراتی
امکانات,اسراتی
حقیقت,راستی
کارخانه,کارجاه
حقایق,راستی
محو شدن,مج
ناکام,بی سوب
ناموفق,بی سوب
ناکامی,بیسوبی
از هوش رفتن,بیهوش
عادلانه,تچکین
منصفانه,دلپهکی
پری,پری
ایمان,ستک
با ایمان,وپادار
تقلبی,وت گڑین
نادرست,رد
شهرت,نامداری
آشنا,پجاروک
فامیل,کهول
قحطی,ڈکال
مشهور,نامدار
شوق,براهدار
دوره,دور
بدرود,اسریء
مزرعه,مزرعه
مزرعه دار,دهکان
حیرت آور,دلکش
روش,فیشن
سریع,زوت
چاق,چرپی
کشنده,سکین
خستگی,دمبرگ
عیب,هتا
مورد علاقه,دلدوستین
لطف,اهسان
ترس,ترس
جشن,داوت
پر,پر
شمائل,هاسیت
علایم,هاسیت
فوریه,پروری
خسته شده,تنگ بوتان
فیس,فیس
خوراندن,وارێنگ
نظر جوابیه,لیکه
احساس,مارگ
پا,پاد
پایین افتاد,کپت
احساس کرد,مار ات
مونث,جنین
حصار,ٹٹ
بارور,پیربگ
جشنواره,مراگش
رفتن و آوردن,ارگ
تب,تپ
چند,لهتین
کمتر,کمتر
نامزد,دشتار
داستان,کسهی لبزانک
میدان,پڈ
شدید,سکین
پانزده,پانزده
پنجاه,پنجاه
دعوا کردن,مڑگ
تصویر,هسابداد
فایل,فائل
پر کردن,پرکنگ
پر شده است,پرین
